date,stock_name,function_name,function_args
Buy Netflix Stock,NFLX,get_all_news_metadata_from_a_keyword_on_a_particular_date,2021-1-5
Buy Netflix Stock,NFLX,get_all_news_metadata_from_a_keyword_on_a_particular_date,2021-1-5
Buy Netflix Stock,NFLX,get_the_number_of_news_published_pertaining_to_the_keyword,2021-1-5
Buy Netflix Stock,NFLX,get_all_news_metadata_from_a_keyword_on_a_particular_date,2021-1-5
Buy Netflix Stock,NFLX,get_the_number_of_news_published_pertaining_to_the_keyword,2021-1-5
Nvidia,NFLX,get_all_news_metadata_from_a_keyword_on_a_particular_date,2021-1-5
Nvidia,NFLX,get_the_number_of_news_published_pertaining_to_the_keyword,2021-1-5
['Nvidia'],NFLX,get_all_news_metadata_from_a_keyword_on_a_particular_date,2021-1-5
['Nvidia'],NFLX,get_the_number_of_news_published_pertaining_to_the_keyword,2021-1-5
2023-1-5,NFLX,get_all_news_metadata_from_a_keyword_on_a_particular_date,Nvidia
2023-1-5,NFLX,get_dataset_google_trend_score_for_keyword,Nvidia
